Instrument ID;Calendar ID;Segment Code;Post Trade Parameters ID;Price Tick Table ID;ISIN Code;Deletion Date;First Trading Date;Instrument Status;Clearing Type;Delete Orders at EOD;Exchange Market Size;Pre-Trade LIS Value (Currency);Minimum Order Size;Last Trading Day;Lot Size;Security Type;TIDM;Description;SEDOL;ADT (EUR);Currency;Bid Status;DOL Indicator;DOL Section Number;Expiry Source;Issuer Code;Issuer Name;Normal Market Size;Ratio;Settlement Type;Standard Market Size;Instrument Name;DOL Symbol;Unit of Quotation;Max Spread Floor;Max Spread Percentage;Country of Register;Covered Warrant Strike Price;Covered Warrant Expiry;Sector;Multicast ID;Covered Warrant Strike Currency;Covered Warrant Type;Covered Warrant Style;Reference Price;Market ID;Visibility;Mifir Identifier;Mifir Subclass;Static Reference Price Collar Percentage;Dynamic Reference Price Collar Percentage ;Liquid;ADT (Currency);ADNT;RPW Allowed;FISN;Max Order Value Lit (Currency);Max Order Value Dark (Currency);Notional Currency ;Price Notation;Denominated Par Value;Max Order Value Lit Auctions (Currency)
ROODa;NL;NL;Normal;10_80;NL0000440477;;20190708;0;1;1;;60000;;;1;EQ;;ROODMICROTEC NV;;115759.69;EUR;;;;;;;;;;;;;;;;;;;;6;;;;0.213;XAMS;B;SHRS;;30;10;N;115759.7;69.51969;Y;ROODMICROTEC/SH .11;20000000;200000000;;MONE;;200000000
SBMOa;NL;NL;Normal;2000_9000;NL0000360618;;20190708;0;1;1;;400000;;;1;EQ;;SBM OFFSHORE NV;;36133088.4;EUR;;;;;;;;;;;;;;;;;;;;6;;;;15.465;XAMS;B;SHRS;;25;5;Y;36133088.4;3024.68111;Y;SBM OFFSHORE N./EQ;20000000;200000000;;MONE;;200000000
SIFGa;NL;NL;Normal;80_600;NL0011660485;;20190708;0;1;1;;100000;;;1;EQ;;SIF HOLDING NV;;786469.48;EUR;;;;;;;;;;;;;;;;;;;;6;;;;12.16;XAMS;B;SHRS;;30;10;N;786469.49;235.09843;Y;SIF HOLDING N.V/EQ;20000000;200000000;;MONE;;200000000
SLIGRa;NL;NL;Normal;80_600;NL0000817179;;20190708;0;1;1;;300000;;;1;EQ;;SLIGRO FOOD GROUP NV;;5041753.72;EUR;;;;;;;;;;;;;;;;;;;;6;;;;26.65;XAMS;B;SHRS;;25;5;Y;5041753.73;386.86221;Y;SLIGRO FOOD GRO/;20000000;200000000;;MONE;;200000000
SIPb;BE;BE;Normal;80_600;BE0003898187;;20190708;0;1;1;;60000;;;1;EQ;;SIPEF SA;;450599.84;EUR;;;;;;;;;;;;;;;;;;;;6;;;;36.3;XBRU;B;SHRS;;30;10;N;450599.85;128.07906;Y;SIPEF/REGSH EUR0;20000000;200000000;;MONE;;200000000
SMARb;BE;BE;Normal;10_80;BE0974323553;;20190708;0;1;1;;15000;;;1;EQ;;SMARTPHOTO GROUP;;19580.93;EUR;;;;;;;;;;;;;;;;;;;;6;;;;13.15;XBRU;B;SHRS;;30;10;N;19580.93;11.22135;Y;SMARTPHOTO GR/REGSH EUR0;20000000;200000000;;MONE;;200000000
SOFb;BE;BE;Normal;80_600;BE0003717312;;20190708;0;1;1;;300000;;;1;EQ;;SOFINA;;7966486.05;EUR;;;;;;;;;;;;;;;;;;;;6;;;;171;XBRU;B;SHRS;;25;5;Y;7966486.06;474.47036;Y;SOFINA/REGSH EUR0;20000000;200000000;;MONE;;200000000
SOLBb;BE;BE;Normal;2000_9000;BE0003470755;;20190708;0;1;1;;650000;;;1;EQ;;SOLVAY SA;;117417209.6;EUR;;;;;;;;;;;;;;;;;;;;6;;;;88.44;XBRU;B;SHRS;;25;5;Y;117417209.59999999;3922.36759;Y;SOLVAY/REGSH EUR0;20000000;200000000;;MONE;;200000000
SPAb;BE;BE;Normal;_10;BE0003798155;;20190708;0;1;1;;15000;;;1;EQ;;SPADEL SA;;31499.07;EUR;;;;;;;;;;;;;;;;;;;;6;;;;197;XBRU;B;SHRS;;30;10;N;31499.08;2.88143;Y;SPADEL/REGSH EUR0;20000000;200000000;;MONE;;200000000
TERBb;BE;BE;Normal;10_80;BE0003573814;;20190708;0;1;1;;30000;;;1;EQ;;TER BEKE N.V.;;98692.2;EUR;;;;;;;;;;;;;;;;;;;;6;;;;102.5;XBRU;B;SHRS;;30;10;N;98692.21;26.41502;Y;TER BEKE/REGSH EUR0;20000000;200000000;;MONE;;200000000
TESBb;BE;BE;Normal;80_600;BE0003555639;;20190708;0;1;1;;200000;;;1;EQ;;TESSENDERLO GROUP;;3289582.51;EUR;;;;;;;;;;;;;;;;;;;;6;;;;26.65;XBRU;B;SHRS;;25;5;Y;3289582.51;396.58103;Y;TESSENDERLO GR/REGSH EUR0;20000000;200000000;;MONE;;200000000
TEXFb;BE;BE;Normal;_10;BE0974263924;;20190708;0;1;1;;15000;;;1;EQ;;TEXAF;;14180.82;EUR;;;;;;;;;;;;;;;;;;;;6;;;;31.8;XBRU;B;SHRS;;30;10;N;14180.83;5.91305;Y;TEXAF/REGSH EUR0;20000000;200000000;;MONE;;200000000
TNETb;BE;BE;Normal;600_2000;BE0003826436;;20190708;0;1;1;;400000;;;1;EQ;;TELENET GROUP HOLDING NV;;43637542.14;EUR;;;;;;;;;;;;;;;;;;;;6;;;;45.6;XBRU;B;SHRS;;25;5;Y;43637542.14;1972.16997;Y;TELENET GROUP H/REGSH EUR0;20000000;200000000;;MONE;;200000000
TUBb;BE;BE;Normal;80_600;BE0003823409;;20190708;0;1;1;;100000;;;1;EQ;;FINANCIERE DE TUBIZE;;751526.14;EUR;;;;;;;;;;;;;;;;;;;;6;;;;59.5;XBRU;B;SHRS;;30;10;N;751526.14;134.65613;Y;FINANCIERE TUBI/REGSH EUR0;20000000;200000000;;MONE;;200000000
UCBb;BE;BE;Normal;2000_9000;BE0003739530;;20190708;0;1;1;;500000;;;1;EQ;;UCB SA;;92031015.32;EUR;;;;;;;;;;;;;;;;;;;;6;;;;69.56;XBRU;B;SHRS;;25;5;Y;92031015.31999999;3749.98815;Y;UCB/REGSH EUR0;20000000;200000000;;MONE;;200000000
UMIb;BE;BE;Normal;2000_9000;BE0974320526;;20190708;0;1;1;;500000;;;1;EQ;;UMICORE;;97344839.77;EUR;;;;;;;;;;;;;;;;;;;;6;;;;26.87;XBRU;B;SHRS;;25;5;Y;97344839.77;7799.77866;Y;UMICORE/REGSH EUR0;20000000;200000000;;MONE;;200000000
VANb;BE;BE;Normal;80_600;BE0003839561;;20190708;0;1;1;;60000;;;1;EQ;;VAN DE VELDE NV;;300726.49;EUR;;;;;;;;;;;;;;;;;;;;6;;;;25.65;XBRU;B;SHRS;;30;10;N;300726.49;119.7668;Y;VAN DE VELDE/REGSH EUR0;20000000;200000000;;MONE;;200000000
VASTBb;BE;BE;Normal;10_80;BE0003754687;;20190708;0;1;1;;60000;;;1;EQ;;VASTNED RETAIL BELGIUM NV;;150281.64;EUR;;;;;;;;;;;;;;;;;;;;6;;;;44.7;XBRU;B;SHRS;;30;10;N;150281.65;17.78261;Y;VAST RET BELG/REGSH EUR0;20000000;200000000;;MONE;;200000000
VGPb;BE;BE;Normal;10_80;BE0003878957;;20190708;0;1;1;;100000;;;1;EQ;;VGP;;609895.27;EUR;;;;;;;;;;;;;;;;;;;;6;;;;75.4;XBRU;B;SHRS;;30;10;N;609895.28;69.48617;Y;VGP/REGSH EUR0;20000000;200000000;;MONE;;200000000
VIOb;BE;BE;Normal;80_600;BE0974271034;;20190708;0;1;1;;100000;;;1;EQ;;VIOHALCO SA;;509346.59;EUR;;;;;;;;;;;;;;;;;;;;6;;;;3.75;XBRU;B;SHRS;;30;10;N;509346.59;305.14458;Y;VIOHALCO/REGSH NPV;20000000;200000000;;MONE;;200000000
WDPb;BE;BE;Normal;80_600;BE0003763779;;20190708;0;1;1;;300000;;;1;EQ;;WAREHOUSES DE PAUW SCA;;6278439.98;EUR;;;;;;;;;;;;;;;;;;;;6;;;;155;XBRU;B;SHRS;;25;5;Y;6278439.98;389.05534;Y;WDP/REGSH EUR0;20000000;200000000;;MONE;;200000000
